at station,battery level,carried weight,carried light,carried heavy,conveyor light,conveyor heavy,Decision
OTHER, 100,0,0,0,0,0,idle!
OTHER, 99,0,0,0,0,0,idle!
OTHER, 98,0,0,0,0,0,idle!
OTHER, 97,0,0,0,0,0,idle!
OTHER, 96,0,0,0,0,0,idle!
OTHER, 95,0,0,0,0,0,idle!
OTHER, 94,0,0,0,0,0,idle!
OTHER, 93,0,0,0,0,0,idle!
OTHER, 92,0,0,0,0,0,idle!
OTHER, 91,0,0,0,0,0,idle!
OTHER, 90,0,0,0,0,0,idle!
OTHER, 89,0,0,0,0,0,idle!
OTHER, 88,0,0,0,0,0,idle!
OTHER, 87,0,0,0,1,0,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 85,0,0,0,1,0,pick!
CONVEYOR_LIGHT, 83,2,1,0,0,0,idle!
CONVEYOR_LIGHT, 82,2,1,0,0,0,idle!
CONVEYOR_LIGHT, 81,2,1,0,0,0,idle!
CONVEYOR_LIGHT, 80,2,1,0,1,0,pick!
CONVEYOR_LIGHT, 78,4,2,0,0,0,idle!
CONVEYOR_LIGHT, 77,4,2,0,0,0,idle!
CONVEYOR_LIGHT, 76,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 75,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 74,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 73,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 72,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 71,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 70,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 69,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 68,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 67,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 66,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 65,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 64,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 63,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 62,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 61,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 60,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 59,4,2,0,1,1,pick!
CONVEYOR_LIGHT, 57,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 56,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 55,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 54,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 53,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 52,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 51,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 50,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 49,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 48,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 47,6,3,0,1,1,pick!
CONVEYOR_LIGHT, 45,8,4,0,0,1,move to DELIVERY!
OTHER, 43,8,4,0,0,1,move to DELIVERY!
OTHER, 41,8,4,0,0,1,move to DELIVERY!
DELIVERY, 39,8,4,0,0,1,place!
DELIVERY, 37,0,0,0,0,1,idle!
DELIVERY, 36,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 34,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 32,0,0,0,1,2,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 30,0,0,0,1,2,pick!
CONVEYOR_LIGHT, 28,2,1,0,1,2,pick!
CONVEYOR_LIGHT, 26,4,2,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 24,4,2,0,0,2,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 22,4,2,0,0,2,pick!
CONVEYOR_HEAVY, 20,8,2,1,1,2,move to DELIVERY!
OTHER, 18,8,2,1,1,2,move to DELIVERY!
OTHER, 16,8,2,1,1,2,move to DELIVERY!
DELIVERY, 14,8,2,1,1,2,place!
DELIVERY, 12,0,0,0,1,3,move to CONVEYOR_LIGHT!
OTHER, 10,0,0,0,1,3,move to CHARGE1!
OTHER, 8,0,0,0,1,3,move to CHARGE1!
OTHER, 6,0,0,0,1,3,move to CHARGE1!
CHARGE1, 4,0,0,0,2,3,charge!
CHARGE1, 13,0,0,0,2,3,charge!
CHARGE1, 22,0,0,0,2,3,charge!
CHARGE1, 31,0,0,0,2,3,charge!
CHARGE1, 40,0,0,0,2,3,charge!
CHARGE1, 49,0,0,0,2,3,charge!
CHARGE1, 58,0,0,0,2,4,charge!
CHARGE1, 67,0,0,0,2,4,charge!
CHARGE1, 76,0,0,0,2,4,charge!
CHARGE1, 85,0,0,0,2,4,charge!
CHARGE1, 94,0,0,0,2,4,charge!
CHARGE1, 100,0,0,0,2,4,move to CONVEYOR_LIGHT!
OTHER, 98,0,0,0,2,4,move to CONVEYOR_LIGHT!
OTHER, 96,0,0,0,2,4,move to CONVEYOR_LIGHT!
OTHER, 94,0,0,0,3,4,move to CONVEYOR_LIGHT!
OTHER, 92,0,0,0,3,4,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 90,0,0,0,3,5,pick!
CONVEYOR_LIGHT, 88,2,1,0,2,5,pick!
CONVEYOR_LIGHT, 86,4,2,0,1,5,pick!
CONVEYOR_LIGHT, 84,6,3,0,0,5,move to CONVEYOR_HEAVY!
OTHER, 82,6,3,0,0,5,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 80,6,3,0,0,5,pick!
CONVEYOR_HEAVY, 78,10,3,1,0,4,move to DELIVERY!
OTHER, 76,10,3,1,0,5,move to DELIVERY!
OTHER, 74,10,3,1,0,5,move to DELIVERY!
DELIVERY, 72,10,3,1,0,5,place!
DELIVERY, 70,0,0,0,0,5,move to CONVEYOR_HEAVY!
OTHER, 68,0,0,0,0,5,move to CONVEYOR_HEAVY!
OTHER, 66,0,0,0,0,5,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 64,0,0,0,1,5,pick!
CONVEYOR_HEAVY, 62,4,0,1,1,4,pick!
CONVEYOR_HEAVY, 60,8,0,2,1,3,move to DELIVERY!
OTHER, 58,8,0,2,1,3,move to DELIVERY!
OTHER, 56,8,0,2,1,3,move to DELIVERY!
DELIVERY, 54,8,0,2,1,3,place!
DELIVERY, 52,0,0,0,1,3,move to CONVEYOR_LIGHT!
OTHER, 50,0,0,0,1,3,move to CONVEYOR_LIGHT!
OTHER, 48,0,0,0,1,3,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 46,0,0,0,2,3,pick!
CONVEYOR_LIGHT, 44,2,1,0,1,3,pick!
CONVEYOR_LIGHT, 42,4,2,0,0,3,move to CONVEYOR_HEAVY!
OTHER, 40,4,2,0,0,3,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 38,4,2,0,1,3,pick!
CONVEYOR_HEAVY, 36,8,2,1,1,2,move to DELIVERY!
OTHER, 34,8,2,1,2,2,move to DELIVERY!
OTHER, 32,8,2,1,2,2,move to DELIVERY!
DELIVERY, 30,8,2,1,2,2,place!
DELIVERY, 28,0,0,0,2,2,move to CONVEYOR_LIGHT!
OTHER, 26,0,0,0,3,2,move to CONVEYOR_LIGHT!
OTHER, 24,0,0,0,3,2,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 22,0,0,0,3,2,pick!
CONVEYOR_LIGHT, 20,2,1,0,2,2,pick!
CONVEYOR_LIGHT, 18,4,2,0,1,2,pick!
CONVEYOR_LIGHT, 16,6,3,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 14,6,3,0,1,3,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 12,6,3,0,1,3,pick!
CONVEYOR_LIGHT, 10,8,4,0,0,3,move to CHARGE1!
OTHER, 8,8,4,0,1,3,move to CHARGE1!
CONVEYOR_HEAVY, 6,8,4,0,1,3,move to CHARGE1!
OTHER, 4,8,4,0,1,3,move to CHARGE1!
OTHER, 2,8,4,0,1,3,move to CHARGE1!
CHARGE1, 0,8,4,0,1,3,charge!
CHARGE1, 9,8,4,0,1,3,charge!
CHARGE1, 18,8,4,0,1,4,charge!
CHARGE1, 27,8,4,0,1,4,charge!
CHARGE1, 36,8,4,0,1,4,charge!
CHARGE1, 45,8,4,0,2,4,charge!
CHARGE1, 54,8,4,0,2,4,charge!
CHARGE1, 63,8,4,0,2,4,charge!
CHARGE1, 72,8,4,0,2,4,charge!
CHARGE1, 81,8,4,0,2,4,charge!
CHARGE1, 90,8,4,0,2,5,charge!
CHARGE1, 99,8,4,0,3,5,charge!
CHARGE1, 100,8,4,0,3,5,move to DELIVERY!
OTHER, 98,8,4,0,4,5,move to DELIVERY!
DELIVERY, 96,8,4,0,4,5,place!
DELIVERY, 94,0,0,0,4,5,move to CONVEYOR_LIGHT!
OTHER, 92,0,0,0,4,5,move to CONVEYOR_LIGHT!
OTHER, 90,0,0,0,4,5,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 88,0,0,0,4,5,pick!
CONVEYOR_LIGHT, 86,2,1,0,3,5,pick!
CONVEYOR_LIGHT, 84,4,2,0,2,5,pick!
CONVEYOR_LIGHT, 82,6,3,0,1,5,pick!
CONVEYOR_LIGHT, 80,8,4,0,1,5,move to DELIVERY!
OTHER, 78,8,4,0,2,5,move to DELIVERY!
OTHER, 76,8,4,0,2,6,move to DELIVERY!
DELIVERY, 74,8,4,0,2,6,place!
DELIVERY, 72,0,0,0,2,6,move to CONVEYOR_LIGHT!
OTHER, 70,0,0,0,2,6,move to CONVEYOR_LIGHT!
OTHER, 68,0,0,0,2,6,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 66,0,0,0,2,6,pick!
CONVEYOR_LIGHT, 64,2,1,0,1,6,pick!
CONVEYOR_LIGHT, 62,4,2,0,0,6,move to CONVEYOR_HEAVY!
OTHER, 60,4,2,0,0,6,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 58,4,2,0,0,6,pick!
CONVEYOR_HEAVY, 56,8,2,1,0,5,move to DELIVERY!
OTHER, 54,8,2,1,1,5,move to DELIVERY!
OTHER, 52,8,2,1,1,5,move to DELIVERY!
DELIVERY, 50,8,2,1,1,5,place!
DELIVERY, 48,0,0,0,1,5,move to CONVEYOR_LIGHT!
OTHER, 46,0,0,0,1,5,move to CONVEYOR_LIGHT!
OTHER, 44,0,0,0,1,5,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 42,0,0,0,1,5,pick!
CONVEYOR_LIGHT, 40,2,1,0,0,5,move to CONVEYOR_HEAVY!
OTHER, 38,2,1,0,0,5,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 36,2,1,0,0,5,pick!
CONVEYOR_HEAVY, 34,6,1,1,0,4,pick!
CONVEYOR_HEAVY, 32,10,1,2,0,3,move to DELIVERY!
OTHER, 30,10,1,2,0,3,move to DELIVERY!
OTHER, 28,10,1,2,0,3,move to DELIVERY!
DELIVERY, 26,10,1,2,0,4,place!
DELIVERY, 24,0,0,0,0,4,move to CONVEYOR_HEAVY!
OTHER, 22,0,0,0,0,4,move to CONVEYOR_HEAVY!
OTHER, 20,0,0,0,0,4,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 18,0,0,0,1,4,pick!
CONVEYOR_HEAVY, 16,4,0,1,2,3,pick!
CONVEYOR_HEAVY, 14,8,0,2,3,2,move to DELIVERY!
OTHER, 12,8,0,2,3,3,move to DELIVERY!
OTHER, 10,8,0,2,3,3,move to CHARGE1!
OTHER, 8,8,0,2,3,3,move to CHARGE1!
OTHER, 6,8,0,2,3,3,move to CHARGE1!
CHARGE1, 4,8,0,2,3,3,charge!
CHARGE1, 13,8,0,2,3,3,charge!
CHARGE1, 22,8,0,2,3,3,charge!
CHARGE1, 31,8,0,2,3,3,charge!
CHARGE1, 40,8,0,2,3,3,charge!
CHARGE1, 49,8,0,2,3,3,charge!
CHARGE1, 58,8,0,2,3,3,charge!
CHARGE1, 67,8,0,2,3,3,charge!
OTHER, 100,0,0,0,0,0,idle!
OTHER, 99,0,0,0,0,0,idle!
OTHER, 98,0,0,0,0,0,idle!
OTHER, 97,0,0,0,0,0,idle!
OTHER, 96,0,0,0,0,0,idle!
OTHER, 95,0,0,0,1,0,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 93,0,0,0,1,0,pick!
CONVEYOR_LIGHT, 91,2,1,0,1,0,pick!
CONVEYOR_LIGHT, 89,4,2,0,0,0,idle!
CONVEYOR_LIGHT, 88,4,2,0,0,0,idle!
CONVEYOR_LIGHT, 87,4,2,0,1,0,pick!
CONVEYOR_LIGHT, 85,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 84,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 83,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 82,6,3,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 80,6,3,0,0,2,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 78,6,3,0,0,2,pick!
CONVEYOR_HEAVY, 76,10,3,1,0,1,move to DELIVERY!
OTHER, 74,10,3,1,1,1,move to DELIVERY!
OTHER, 72,10,3,1,1,1,move to DELIVERY!
DELIVERY, 70,10,3,1,1,1,place!
DELIVERY, 68,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 66,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 64,0,0,0,1,1,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 62,0,0,0,1,1,pick!
CONVEYOR_LIGHT, 60,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 59,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 58,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 57,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 56,2,1,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 54,2,1,0,0,2,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 52,2,1,0,0,2,pick!
CONVEYOR_HEAVY, 50,6,1,1,0,1,pick!
CONVEYOR_HEAVY, 48,10,1,2,0,0,move to DELIVERY!
OTHER, 46,10,1,2,0,0,move to DELIVERY!
OTHER, 44,10,1,2,0,0,move to DELIVERY!
DELIVERY, 42,10,1,2,1,0,place!
DELIVERY, 40,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 38,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 36,0,0,0,1,1,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 34,0,0,0,1,1,pick!
CONVEYOR_LIGHT, 32,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 31,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 30,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 29,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 28,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 27,2,1,0,1,1,pick!
CONVEYOR_LIGHT, 25,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 24,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 23,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 22,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 21,4,2,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 19,4,2,0,0,2,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 17,4,2,0,0,2,pick!
CONVEYOR_HEAVY, 15,8,2,1,0,1,move to DELIVERY!
OTHER, 13,8,2,1,0,1,move to DELIVERY!
OTHER, 11,8,2,1,0,1,move to DELIVERY!
