seed,fitness original,fitness BT-Factor,fitness RE-BT,BT-Factor: delta fitness,BT-Factor (DNF) delta fitness,RE:BT: delta fitness,Possible to minimize?,Original battery over?,BT-Factor battery over?,BT-Factor dnf battery over?,RE:BT battery over?,RE:BT (no pruning) battery over?
200,51,51,29.75,0,0,21.25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
201,49,49,27,0,0,22,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
202,43,43,43,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
203,43,43,37,0,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
204,19,19,22,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
205,36,36,40,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
206,41,41,42,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
207,41,41,25,0,0,16,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
208,38,38,38,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
209,40,40,38,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
210,44,44,38,0,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
211,38,38,26,0,0,12,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
212,40,40,40,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
213,38,38,38,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
214,38,38,34,0,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
215,34,34,34,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
216,35,35,22,0,0,13,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
217,34,34,32,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
218,39,39,39,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
219,44,44,42,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
220,36,36,34,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
221,38,38,10.75,0,0,27.25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
222,44,44,9,0,0,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
223,39,39,39,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
224,37,37,37,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
225,44,44,26,0,0,18,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
226,38,38,34,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
227,42,42,39,0,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
228,31,31,30,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,31,31,7.75,0,0,23.25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
230,38,38,33,0,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
231,38,38,40,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
232,35,35,38,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233,40,40,38,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
234,42,42,44,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
235,37,37,37,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
236,38,38,38,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
237,33,33,28,0,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
238,46,46,25,0,0,21,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
239,41,41,19.25,0,0,21.75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
240,37,37,40,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
241,44,44,44,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
242,38,38,7.25,0,0,30.75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
243,35,35,40,0,0,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
244,37,37,11.25,0,0,25.75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
245,44,44,43,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
246,47,47,25,0,0,22,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
247,46,46,44,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
248,38,38,37,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
249,38,38,38,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
250,48,48,42,0,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
251,42,42,38,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
252,40,40,12.5,0,0,27.5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
253,34,34,36,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
254,38,38,37,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
255,35,35,37,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
256,44,44,44,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
257,45,45,36,0,0,9,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
258,35,35,32,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
259,27,27,25,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
260,40,40,33,0,0,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
261,37,37,36.5,0,0,0.5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
262,40,40,38,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
263,33,33,6.5,0,0,26.5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
